Title|Author|Words|Type|Complete|Setting|Elsa|Anna|Powers|Sisters|Rated|Smut|Added|Published|Detail|AO3|FF|Other
Across the Ice|GreenBrightEyes|52|Multi-Chapter|No|mAU|Figure Skater|Hockey Player|No|No|M|None|15/01/15|27/11/13|When Anna, a high school hockey player, runs into Elsa, an olympics bound figure skater, they'll both have to decide what parts of their complicated lives are truly important.||https://www.fanfiction.net/s/10129948/1/Across-the-Ice|
Against the Wind|SnowAngel444|16|Multi-Chapter|No|AU|Pirate Captain|Princess|No|No|M|None|15/01/15|27/11/13|Princess Anna is being sent across the sea to marry a man she has never met, all for the sake of her kingdom. This plan is thrown into chaos, however, when her ship is raided by pirates. Their mysterious blonde captain decides to take her and hold her for ransom. How will it all play it out? Elsanna||https://www.fanfiction.net/s/10374691/1/Against-The-Wind|
An Awkward First Something|talkstopaintings|171|Multi-Chapter|No|mAU|College Student|College Student|No|No|T|None|15/01/15|27/11/13|A modern, non-incest college AU. After having a crush on her all year Anna finally asks Elsa out on a date. This fic is so adorable and fluffy. I actually had to stop reading a few times because my face hurt from smiling too much. After the first few chapters it develops a more complex, serious heart, but that is definitely not a bad thing.||https://www.fanfiction.net/s/10124588/1/An-Awkward-First-Something|
An Under the Table Affair|2-am-smut|3|One-Shot|Yes|mAU|Adult|Adult|No|Yes|M|Pure|23/01/15|25/01/14|Elsa and Anna go out to celebrate their anniversary, and things get a little heated.||https://www.fanfiction.net/s/10053334/1/An-Under-the-Table-Affair|
An Unlikely Pair|akichimihito|32|Multi-Chapter|No|mAU|Figure Skater|Hockey Player|No|No|T|None|02/02/15|07/03/14|||https://www.fanfiction.net/s/10169091/1/An-Unlikely-Pair|
ANNA 772 ELSA 35|Kain772|30|Multi-Chapter|Yes|AU|Adult Genetically Enhanced Soldiers|Adult Genetically Enhanced Soldiers|No|No|M|Medium|24/01/15|10/10/14|Follow Genetically Enhanced Soldiers Anna 772 and Elsa 35 as they travel and try to complete a nearly impossible mission.||https://www.fanfiction.net/s/10748058/1/ANNA-772-ELSA-35|
Anna Summers PA|HMSElsanna|95|Multi-Chapter|Yes|mAU|CEO|Personal Assistant|No|No|M|Plot Focused|20/09/14|16/02/14|Elsa inherited her position of CEO from her father, but she's never really been comfortable dealing with people. can her new gorgeous PA, Anna break through her icy shell? So much adorableness in this fic. Anna and Elsa are very faithful to their canon personalities despite the different setting. This is the fic that convinced me that modern AUs could be just as great as stories based on the movie canon.|http://archiveofourown.org/works/1259824/chapters/2594269|https://www.fanfiction.net/s/10116793/1/Anna-Summers-PA|
Anna Uber Alles|RainyWays|13|Multi-Chapter|No|mAU|College Student|Punk Rocker|No|No|T|None|23/01/15|27/09/14|Elsa has just moved into a new house, only to discover her new neighbors' band doesn't lend itself to peace and quiet. One redhead in particular takes the suggestion to quiet down poorly, giving Elsa an unexpected enemy whom she has no idea how to manage. Trying to do so takes them both in a direction that neither expects.||https://www.fanfiction.net/s/10720742/1/Anna-%C3%9Cber-Alles|
ARENDELLE|Kain772|43|Multi-Chapter|Yes|AU|Adult Doctor |Adult Assistant |No|No|M|Medium|24/01/15|07/09/14|||https://www.fanfiction.net/s/10677386/1/ARENDELLE|
Arendelle Flowers|Malthazar Lord of Shadows|8|One-Shot|Yes|mAU|Professor|Florist|No|No|T|None|26/01/15|12/06/14|||https://www.fanfiction.net/s/10444935/1/Arendelle-Flowers|
Arendelle High|YouAintGotNoPancakeMix|116|Multi-Chapter|No|mAU|High School Dork|Head Cheerleader|No|No|M|Plot Focused|31/10/14|11/03/14|The school's biggest dork, Elsa, is head over heels for Anna, the head cheerleader. Will her geeky antics be enough to make the girl swoon? Or just end up making her look like the idiot her best friend Kristoff thinks she is. (g!p Elsa)||https://www.fanfiction.net/s/10179694/1/Arendelle-High|
Argos|4mation|59|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Medium|15/01/15|27/11/13|Anna and Elsa go to great lengths to keep their love secret, but there are many eyes in and around the castle, and some things are too big to keep hidden. This is a series of accounts from the perspectives of people around the queen and princess, who come to know, or suspect the extent of their relationship. While this fic is light on the sisters and heavy on OCs it weaves a fascinating, dark version of Arendelle, and what it takes to keep a kingdom, and its rulers safe.|http://archiveofourown.org/works/2606663/chapters/5807408?view_adult=true||
Awoken|Caris August|26|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|None|15/01/15|27/11/13|Elsa has been unfrozen from her life of constant fear, and Anna has been awoken to a love she cannot hide. When Arendelle opens it's gates to suitors of the surrounding kingdoms will Anna standby and watch Elsa be swept away from her? There will be a magical twist (literally) Elsann||https://www.fanfiction.net/s/9970827/1/Awoken|
Battle of Frozen Hearts|smiggers|108|Multi-Chapter|Yes|STP|Army Grand Marshall|Princess|Yes|No|M|None|15/01/15|27/11/13|Another almost canon AU. Elsa was adopted by the king and queen under mysterious circumstances, but when she almost kills their only real daughter, Anna, she joins the military, and swears her life to defend the royal family from afar. But love and magic work in strange ways, and it may take Arendelle's darkest hour to reunite them.||https://www.fanfiction.net/s/10167827/1/Battle-of-Frozen-Hearts|
Be Strong My Girl|hotskytrotsky|12|Multi-Chapter|Yes|mAU|Teenager|Teenager|No|No|T|None|15/01/15|27/11/13|Elsa has a secret that she's kept from everyone, even her best friend Anna. With the summer ending and everyone about to go to college this might be her last chance, but is she prepared to deal with the consequences of her feelings? This short, heart-wrenching tale perfectly captures so many emotions in it's short two chapters. First love, fear, desire, loss, there's more in this story than most of the other fics in this list combined. I won't blame you if you want to stop after the high note at the end of the first half, you have been warned.|http://archiveofourown.org/works/1618208/chapters/3448535?view_adult=true||
Belonging|x.SodeNoZangetsu.x|59|Multi-Chapter|Yes|mAU|College Student|Gang Member|No|No|M|None|15/01/15|27/11/13|Anna never felt like she fit in anywhere. She thought that joining a gang would give her the sense of belonging she's always wanted. How far will she go to appease her new family, how much choice does she really have, and is there anything that a shy, blonde college student can do to convince Anna that she deserves more?||https://www.fanfiction.net/s/10178089/1/Belonging|
Beyond the Ever After|exDerelict|16|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|Plot Focused|15/01/15|27/11/13|Sometimes Happily ever after isn't so simple. Anna was happy with Kristoff, their newborn daughter was proof of that, right? So why can't she stop thinking about Elsa? This story is still new and just getting going, but is already worth a look. It offers a refreshingly new look at the bonds formed between Anna, Elsa, and Kristoff during the movie, and how they might persist or change in more peaceful times.||https://www.fanfiction.net/s/10116190/1/Beyond-the-Ever-After|
Biting Cold|Kholinar|4|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|[Elsanna - WARNING: Smut - Oneshot] Anna wants something, and there's only one person whose powers can give it to her||https://www.fanfiction.net/s/10165214/1/Biting-Cold|
Bloom|seasidevoiceguitar|22|Multi-Chapter|No|mAU|Adult|Adult|No|No|M|None|15/01/15|27/11/13|Two women meet on an airplane and make a strange discovery. Modern AU. Elsanna. No incest||https://www.fanfiction.net/s/10468645/1/Bloom|
Breaking and Entering|readitsexy|13|Multi-Chapter|No|mAU|Adult|Adult|No|No|M|Plot Focused|24/01/15|12/05/14|I accidentally broke into your house/apartment because my friend lives next door to you and i was in the area, drunk, and i thought i was climbing into the right window and falling asleep on the right couch (and i did wonder when my friend got two cats but i didn't question it) so now i'm hungover and shirtless in your living room so um, hi, howya doin?||https://www.fanfiction.net/s/10344782/1/Breaking-and-Entering|
Burning Cold Love|Elsannaiscanon|81|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Plot Focused|20/09/14|31/05/14|Burning Cold Love picks up from the very end of the film, following the adorable progression of Elsa's and Anna's relationship through danger, fluff, and adventure while tying up several ends left loose by the movie.|http://archiveofourown.org/works/1994826/chapters/43214551|https://www.fanfiction.net/s/10392707/1/Burning-Cold-Love|
Cafe Liegeois|4mation|32|Multi-Chapter|Yes|mAU|Teenager|Teenager|No|No|T|None|15/01/15|27/11/13|A mysterious blind woman walks into the coffee shop where Anna works. Anna may be persistent, but Elsa has her reasons for keeping her distance from others. From the author of Argos.||https://www.fanfiction.net/s/9944005/1/Caf%C3%A9-Li%C3%A9geois|
Can I Help You Find Something|ShindeTsuku|18|Multi-Chapter|No|mAU|Target Worker|Target Worker|Yes|Yes|T|None|15/01/15|27/11/13|Target!AU where Anna and Elsa are separated at a young age due to divorce. Years later, Anna turns 18 and needs a job, so she applies at Target, where she will soon run into her long lost sister, Elsa. Rated T for now, might be changed to M depending on how things go. Elsanna!I'd also like to thank Seasidevoiceguitar for his incredible help editing my story!||https://www.fanfiction.net/s/10253864/1/Can-I-Help-You-Find-Something|
Cold War|Blisterdude|86|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|None|15/01/15|27/11/13|An epic tale of war, intrigue and betrayal. Set after the movie Arendelle's new queen is beset on all sides by forces that would see her kingdom undone. This is another story that doesn't focus on romance (although it's there, just be patient), and instead tells a truly engaging, and believable story. It is fast-paced despite its length, this fic introduces new, yet in character, sides of familiar side characters, and even a handful of AUs who all fit seamlessly into this complex take on the world.||https://www.fanfiction.net/s/10140944/1/Cold-War|
Crash Into Me|freudianslip13|60|Multi-Chapter|No|mAU|Amnesia Patient|Nurse|No|No|M|Plot Focused|17/01/15|15/10/14|||https://www.fanfiction.net/s/10759972/1/Crash-Into-Me|
Creative Writing|Amnestyyy|25|Multi-Chapter|No|mAU|Student|Student|No|No|T|None|26/01/15|09/11/14|||https://www.fanfiction.net/s/10814498/1/Creative-Writing|
Crysallization|cynthash(Smashleigh)|12|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|Plot Focused|29/01/15|27/11/13|||https://www.fanfiction.net/s/11006221/1/Crystallization|
Cut Through the Heart|Nina Windia|60|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|T|None|15/01/15|27/11/13|Soon Elsa must choose a husband from among her many suitors, but there's only one person she truly loves, and unfortunately there are those who would use that fact against Arendelle. Elsa is not the only one in the world with powerful magic at their disposal.||https://www.fanfiction.net/s/9949325/1/Cut-Through-the-Heart|
Double Frozen Delights|cyberan0|17|Multi-Chapter|No|Canon|Queen|Queen|Yes|Yes|T|Plot Focused|03/12/14|18/11/13|||https://www.fanfiction.net/s/10834364/1/Double-Frozen-Delights|
Dream Girl|Shame I Win|21|Multi-Chapter|Yes|mAU|Adult|Adult|No|No|M|None|15/01/15|27/11/13|Anna thinks that pantsuit-girl from the cafe might be her dream girl-if only she weren't so bad at handling reality. Elsa can't quite admit how much she loves Billy Collins, among other things. Modern AU. Elsanna. Not sisters||https://www.fanfiction.net/s/10471060/1/Dream-Girl|
Dreamfall|Kirye22|104|Multi-Chapter|No|mAU|Billionaire / Queen|Nurse / Princess|Yes|No|M|None|26/01/15|19/09/14|||https://www.fanfiction.net/s/10703403/1/Dreamfall|
Dystopian Utopia|H20loo|61|Multi-Chapter|Yes|AU|Master Architect|Apprentice|No|No|M|Plot Focused|24/12/14|27/04/13|||https://www.fanfiction.net/s/10305211/1/Dystopian-Utopia|
Elsa A Frozen Tale|Fieryeel|49|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|T|None|08/02/15|21/08/14|3 months have passed since the Great Thaw, but the scars of Elsa's isolation remains. In her quest to help, Anna uncovers a truth that will change everything - magic is feared for a reason after all. Just how far will the sisters go for each other?|http://archiveofourown.org/works/2176776/chapters/4762713|https://www.fanfiction.net/s/10633411/1/Elsa-A-Frozen-Tale|
Elsa Vinters and Her (Dys)Functional Family|LucidMagic|11|Multi-Chapter|No|mAU|Architecture Student/Shut-in|College Grad/Painting Restorer|No|No|T|None|24/01/15|13/07/14|Anna is a broke Arts Major, looking for another job, until she finds a mysterious ad in the newspaper. She's perfect for it, only, she'll have to be employed by a lime-lighted family, the Vinters, a clan of wealthy misfits on the outskirts of the city. Along with a bubbly father, an indifferent mother, a bear-obsessed grandmother, and a gorgeous, yet painfully shy daughter, Anna's world will be turned upside down-- but in a good way. A mix of Frozen and the Addams Family, this story is a light-hearted romance-comedy!||https://www.fanfiction.net/s/10533998/1/Elsa-Vinters-and-Her-Dys-Functional-Family|
Elsa's Anatomy|Midori Akiko|27|Multi-Chapter|No|mAU|Doctor|Med-Student|No|No|M|None|15/01/15|27/11/13|Anna and Kristoff are med students at Arendelle Medical Center, the same hospital where Dr. Elsa Casimir, the Ice Queen, also works. Unfortunately for Anna, Elsa is her mentor and the lone obstacle between her and graduation. What she doesn't realize, is that the Ice Queen is crushing on her, hard. Modern AU with Doctor!Elsa. Elsanna, no icest. Story on hiatus until futher notice||https://www.fanfiction.net/s/10201189/1/Elsa-s-Anatomy|
Elsanna at the Coronation|Karhall NSFW|5|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|[NSFW] Elsanna scene building off the 'You look beautiful' interaction in the coronation scene||https://www.fanfiction.net/s/10628476/1/Elsanna-at-the-Coronation|
Extra! Extra! Read All About It!|Dont.Tell.Them.Its.Me|18|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|T|None|15/01/15|27/11/13|An adorable, drama free story about what happens when most of the citizens start shipping their queen and princess behind the ruler's backs. Even going so far as to publish a subreddit newspaper with pictures and stories about them being together.||https://www.fanfiction.net/s/10017841/1/Extra-Extra-Read-all-about-it|
Feel Don't Conceal|Kurrent|133|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|M|Plot Focused|30/10/14|19/01/14|When Anna and Elsa saved each other on the frozen fjord, they felt something profound in their hearts, but they might need some convincing to admit what they feel, and their citizens might need more than that to accept it. Despite the fairly vanilla premise this fic offers some of the most adorable and convincing interactions between the two sisters. If you were ever skeptical that what Anna and Elsa have is true love, this story will convince you.||https://www.fanfiction.net/s/10035724/4/Feel-Don-t-Conceal|
Fencing Practice|Melancholia|2|One-Shot|Yes|Canon|Queen|Princess, Fencer||Yes|M|Pure|30/10/14|29/10/14||||http://panzemek.tumblr.com/post/101243593879/patronustrip-practice-elsa-jeez-you-didnt
First Times and Forever|Cyberano|182|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|T|None|30/10/14|23/06/14|||https://www.fanfiction.net/s/10476922/1/First-Times-and-Forever|
For Her Hand|Yollm|33|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|None|15/01/15|27/11/13|When Elsa's advisors suggest she begin looking for a husband, it is decided that a swordsmanship tournament will be held to make the process of finding suitors easier. Less-than-pleased, Anna decides to join the tournament herself in disguise, to fight to prove the realness of the strange feelings budding in her heart. Elsanna||https://www.fanfiction.net/s/9967787/1/For-Her-Hand|
For the First Time|ManeStella|29|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|None|15/01/15|27/11/13|Set a few weeks after the events of Frozen. Anna and Elsa are beginning to reconnect after years of isolation from both the world and each other, but now older and supposedly wiser the girls begin to uncover feelings they perhaps should have let be. Elsa/Anna. Rated M for later chapters||https://www.fanfiction.net/s/9896384/1/For-the-First-Time|
For The Queen Who Has Everything|Jane|27|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Plot Focused|29/01/15|28/02/14||||http://elsannaheadcanons.tumblr.com/post/78046017854/for-the-queen-who-has-everything-1
Forever in Your Service|Mathazar Lord of Shadows|59|Multi-Chapter|No|STP|Queen|Queen's knight/wife|Yes|No|M|Plot Focused|15/01/15|27/11/13|A sequel to In the Service of the Queen in the form of a series of one-shots.||https://www.fanfiction.net/s/10531668/1/Forever-in-Your-Service|
Freeze Out|Jessica-X|96|Multi-Chapter|No|mAU|CEO|Business Owner|No|No|T|Plot Focused|15/01/15|27/11/13|[Elsanna, Futuristic-AU, Office] Elsa Froiland has channelled every second of life into her vast empire, North Mountain Industries. One ten o'clock appointment will reveal that her position at the top of the heap isn't nearly as secure as she thought. Can she (and Anna Snowman's struggling little company) outfox the foxes? [T for 'icest', maybe language||https://www.fanfiction.net/s/10173956/1/Freeze-Out|
Frostbite|Talkpillow|64|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|T|None|28/11/14|05/12/13|Set after the movie, Elsa and Anna try to live life as normal as possible. But when a stranger comes to live in their castle and threatens to steal the heart of not only the kingdom but Elsa, conflicts ensue. ||https://www.fanfiction.net/s/9900900/1/Frostbite|
Frozen|NamelessSaint|1|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|Elsa wants to use her ice powers during love-making. Elsanna, yes. A shameless little PWP..||https://www.fanfiction.net/s/10026173/1/Frozen|
Frozen Furnace|bholley|5|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|K|None|28/01/15|16/08/14|A few months after the thaw, Elsa and Anna are trying to reconnect and become close. Elsa begins to pull away again. Anna finds out why, but she is almost too late. One-shot, sisterly fluff.||https://www.fanfiction.net/s/10622699/1/Frozen-Furnace|
Golden Snowflake|Talkpillow|258|Multi-Chapter|Yes|AU|Princess|Knight|Yes|No|M|Plot Focused|02/11/14|19/03/14|||https://www.fanfiction.net/s/10198450/1/Golden-Snowflake|
Hail to the Queen|readitsexy|16|Multi-Chapter|No|AU|Hero|Mysterious Girl|No|No|T|None|24/01/15|14/12/14|They told me, 'You're special. You were born to do great things.' You know what? They were right. - A sort of crossover fic of Bioshock Infinite and Frozen, mixed with some other Disney characters.||https://www.fanfiction.net/s/10890950/1/Hail-to-the-Queen|
Have Yourself a Merry Little Christmas|ManeStella|2|One-Shot|Yes|mAU|Adult|Adult|No|Yes|M|Pure|23/01/15|23/12/13|It's the eve of the first Christmas shared between the sisters in years and they spend the night having a little unsisterly fun. Just a little elsanna holiday smut.||https://www.fanfiction.net/s/9951612/1/Have-Yourself-a-Merry-Little-Christmas|
Helping Hands|Emirael|17|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13||http://archiveofourown.org/works/1226797/chapters/2513899?view_adult=true||
Hideaway|Horrific Nerd|10|Multi-Chapter|Yes|Canon|Queen|Princess|Yes|Yes|M|Pure|18/01/15|27/11/13|[Christmas-ish themed oneshot!] When Anna notices Elsa isn't enjoying the festivities she sets out to find her, wincest ensues! [Elsanna||https://www.fanfiction.net/s/9948435/1/Hideaway|
Hold My Hand|Horrific Nerd|11|Multi-Chapter|No|mAU|Eldest Sibling|Younger Sibling|Yes|Yes|M|None|24/01/15|08/07/14|||https://www.fanfiction.net/s/10519851/1/Hold-My-Hand|
How I Met Your Mother|Vanille Strawberry|74|Multi-Chapter|Yes|STP|Queen|Princess|Yes|No|M|Plot Focused|15/01/15|27/11/13|Elsa of Arendelle and Anna of the Winterlands have found their happily ever after, ruling Arendelle together, but their daughter has some questions about how exactly their happy lives came to be, questions that might force Elsa to confront her own anxieties about motherhood. It has nothing to do with the TV show of the same name, especially because it's actually about a parent telling their child how they met their mother.||https://www.fanfiction.net/s/10277977/1/How-I-Met-Your-Mother|
I'll Be Right Here|JFishy|38|Multi-Chapter|Yes|mAU|Adult|Adult|Yes|Yes|M|Plot Focused|15/01/15|27/11/13|Elsa and Anna hook up a party and all drama breaks loose. But in the end they really only have each other.||https://www.fanfiction.net/s/10033697/1/I-ll-Be-Right-Here|
Ice Witch|SnowAngel444|51|Multi-Chapter|Yes|STP|Ice Witch|Princess|Yes|No|T|None|15/01/15|27/11/13|There's a whispered rumor of a wicked Ice Witch living atop the North Mountain, and a 10 year old Anna wants to see if it's true. What will the princess find? Elsanna. (Not incest.||https://www.fanfiction.net/s/10115105/1/Ice-Witch|
In the Absence of Sun|gschelt|62|Multi-Chapter|No|mAU|High School Student|High School Student|No|No|M|None|15/01/15|27/11/13|Elsa has always led a privileged life. And after therapy and years of homeschool to help her with her â€˜problems' her parents have finally decided it's time for to attend a normal school, Arendelle prep. But there are some things you can't fix. This story of privilege friendship and love hides a sinister heart. I was intentionally vague in the description because one of the things it does very well is the way it slowly reveals what exactly is going on. The first person perspective is consistent and powerful, and may even have you believing things that you know are wrong.||https://www.fanfiction.net/s/10221429/1/In-The-Absence-of-Sun|
In the Service of the Queen|Malthazar Lord of Shadows|112|Multi-Chapter|Yes|STP|Queen|Travelling Swordswoman|Yes|No|M|Plot Focused|15/01/15|27/11/13|Anna lives a rugged life, such is the way of a traveling swords-woman. Live to fight, fight to eat, but while traveling to the kingdom of Arendelle late one winter she stumbles upon a group of bandits, attacking people on the road and jumps into the fray, changing her life. Forever||https://www.fanfiction.net/s/10251701/1/In-the-Service-of-the-Queen|
Just Friends|uber-tastic|12|Multi-Chapter|Yes|mAU|Adult|Adult|No|No|M|Plot Focused|15/01/15|27/11/13|This is an adorable little one-shot with lots of cute fluff between beautifully rendered incarnations of Elsa and Anna, throw in a dash of drama and maybe a little smut and this fic is sure to leave you smiling.||https://www.fanfiction.net/s/10141283/1/Just-Friends|
Kill of the Night|Wolf Brigade|57|Multi-Chapter|No|mAU|College Student|Hunter/College Student|Yes|No|T|None|17/01/15|26/07/14|The Guild doesn't pay nearly enough money for the creatures Anna has to hunt down on the weekly basis. Seriously, it's like Arendelle's on top of a Hellmouth. So when she has to put out an ad for a roommate, all she wants is someone nice and normal. What she gets is the beautiful and awkward Elsa, who has a secret of her own.|http://archiveofourown.org/works/2027052/chapters/4397442|https://www.fanfiction.net/s/10568481/1/Kill-of-the-Night|
Leave it Be|Shame I Win|51|Multi-Chapter|No|mAU|High School Student|High School Student|No|Yes|T|None|15/01/15|27/11/13|This fic avoid many of the cliches of modern incest fics, for one it's about Anna harboring secret feelings for Elsa instead of the other way around. It manages to be angsty and adorable at the same time, and even directly addresses the problems of a modern day incestuous relationship instead of just sweeping them under the table with some kind of 'love will prevail' platitude like so many other fics do.||https://www.fanfiction.net/s/10362240/1/Leave-it-Be|
Lessons From the Ice Queen|ExiXIII|36|Multi-Chapter|Yes|mAU|High School Student|High School Student|No|No|T|None|15/01/15|27/11/13|Anna Summerfield needed help with academics, so she came to Elsa Andersen - the cold and antisocial girl who is among the school's smartest - for help for she has no one else to turn to. It all started with a strictly professional relationship between tutor and tutee that gradually escalates into friendship and finally into something more than just best friends||https://www.fanfiction.net/s/10160493/1/Lessons-from-the-Ice-Queen|
Let's Dance|Hunhund|40|Multi-Chapter|Yes|mAU|Patient|Physical Therapist|No|No|M|Medium|15/01/15|27/11/13|When Elsa loses her foot in an avalanche, she's convinced that her life, and her skiing career are over, but her feisty physical therapist, Anna is going to do everything she can to convince her otherwise. This is a relatively drama-free fluffy romance (with just enough smut) that is sure to leave you smiling.||https://www.fanfiction.net/s/10176587/1/Let-s-Dance|
Liar Liar|Mort de L'oignon|11|Multi-Chapter|No|Canon|Queen|Princess|Yes|Yes|T|None|15/01/15|27/11/13|People make bad choices when they're sad, or mad, or stressed, or just when they're really drunk. Anna makes a pass at Elsa while drunk, and things spiral out of control from there. Plenty of angst and fluff, and even some great interactions between Elsa and Kristoff as the sisters try to work out their feelings.||https://www.fanfiction.net/s/10153828/1/Liar-Liar|
Looking At You|bholley|3|One-Shot|Yes|Canon|Queen|Princess|Yes|Yes|K|None|28/01/15|09/01/15|Elsa and Anna have a tumultuous conversation in the hallway after dinner one night. It leads to a better understanding of a certain expression Elsa sometimes wears when she looks at her sister. (Post-canon one-shot, platonic sisterly fluff)||https://www.fanfiction.net/s/10958886/1/Looking-At-You|
Lost and Found|oikosyogurt|48|Multi-Chapter|No|mAU|Con-Woman|High School Student|No|Yes|M|None|15/01/15|27/11/13|Elsa is a successful, and reclusive con artist. But when a strange girl named Anna shows up claiming to be her sister and the carefully controlled life she's built starts falling apart, Elsa has to reevaluate what is important in her life.||https://www.fanfiction.net/s/10236480/1/Lost-Found|
Love and Physics|1Syphira|28|Multi-Chapter|No|mAU|College Professor|College Student|No|No|M|Plot Focused|15/01/15|27/11/13|Elsa Winters, savant, scientist, and genius, has just begun her new life as a brilliant physics professor, and all seems perfect in her new life. But when Anna, a young and equally brilliant student comes into her life, she's about to find out just how ill prepared for real life she really is. Elsanna smut, NOT sisters||https://www.fanfiction.net/s/10490546/1/Love-and-Physics|
Love in Loncoln|n1nastil|60|Multi-Chapter|Yes|mAU|University Student|University Student|No|Yes|M|Plot Focused|15/01/15|27/11/13|Elsa and Anna move to the UK to study at the University of Lincoln. Modern Au with Elsanna. Lots of swearing and later incest||https://www.fanfiction.net/s/10221831/1/Love-in-Lincoln|
